codigo,nombre,municipio_codigo,municipio_nombre,superficie_km2,densidad_por_km2,DATASET_SAMUR,DATASET_CENTROS_SALUD,DATASET_DEMOGRAPHICS
079601,Centro,0796,Madrid,5.21,25340.69,CENTRO,CENTRO,CENTRO
079602,Arganzuela,0796,Madrid,6.52,23306.44,ARGANZUELA,ARGANZUELA,ARGANZUELA
079603,Retiro,0796,Madrid,5.42,21867.53,RETIRO,RETIRO,RETIRO
079604,Salamanca,0796,Madrid,5.36,26830.78,SALAMANCA,SALAMANCA,SALAMANCA
079605,Chamartín,0796,Madrid,9.12,15723.25,CHAMARTIN,CHAMARTIN,CHAMARTÍN
079606,Tetuán,0796,Madrid,5.37,28664.25,TETUAN,TETUAN,TETUÁN
079607,Chamberí,0796,Madrid,4.73,29049.26,CHAMBERI,CHAMBERI,CHAMBERÍ
079608,Fuencarral-El Pardo,0796,Madrid,238.00,1003.00,FUENCARRAL,FUENCARRAL-EL PARDO,FUENCARRAL-EL PARDO
079609,Moncloa-Aravaca,0796,Madrid,46.47,2515.26,MONCLOA,MONCLOA-ARAVACA,MONCLOA-ARAVACA
079610,Latina,0796,Madrid,25.47,9183.75,LATINA,LATINA,LATINA
079611,Carabanchel,0796,Madrid,14.10,17316.88,CARABANCHEL,CARABANCHEL,CARABANCHEL
079612,Usera,0796,Madrid,7.70,17535.32,USERA,USERA,USERA
079613,Puente de Vallecas,0796,Madrid,14.84,15345.01,VALLECAS PTE.,PUENTE DE VALLECAS,PUENTE DE VALLECAS
079614,Moratalaz,0796,Madrid,6.08,15493.59,MORATALAZ,MORATALAZ,MORATALAZ
079615,Ciudad Lineal,0796,Madrid,11.52,18455.56,CIUDAD LINEAL,CIUDAD LINEAL,CIUDAD LINEAL
079616,Hortaleza,0796,Madrid,25.87,6973.33,HORTALEZA,HORTALEZA,HORTALEZA
079617,Villaverde,0796,Madrid,20.21,7059.13,VILLAVERDE,VILLAVERDE,VILLAVERDE
079618,Villa de Vallecas,0796,Madrid,51.49,2026.82,VILLA DE VALLECAS,VILLA DE VALLECAS,VILLA DE VALLECAS
079619,Vicálvaro,0796,Madrid,35.36,1981.11,VICALVARO,VICALVARO,VICÁLVARO
079620,San Blas-Canillejas,0796,Madrid,22.26,6934.37,SAN BLAS,SAN BLAS-CANILLEJAS,SAN BLAS-CANILLEJAS
079621,Barajas,0796,Madrid,43.56,1076.06,BARAJAS,BARAJAS,BARAJAS
